,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
2012년 이전,815,16,34,163,35,4,346,81,8,128,0,14,730,23,71,54,852,0,572,41,440,8,69,40,268
2012년,,114,71,144,57,0,21,78,0,22,87,3,253,19,174,122,216,0,136,24,84,73,67,59,27
2013년,,87,234,208,100,14,253,170,22,2,164,44,155,40,158,104,349,174,238,25,431,79,66,90,227
2014년,195,77,125,107,187,16,72,229,61,145,77,332,108,112,134,202,187,80,123,503,439,70,580,85,49
2015년,150,236,221,325,98,115,132,322,124,172,514,329,137,185,246,199,268,361,209,128,609,562,830,214,154
2016년,0,240,298,255,52,804,155,594,251,123,331,555,223,478,424,168,326,133,248,253,622,504,1293,176,202
2017년,261,372,351,967,675,814,153,890,29,129,175,403,356,365,577,506,540,196,311,271,688,1041,988,241,273
2018년,85,386,125,415,465,201,174,867,391,222,216,635,237,373,837,259,488,539,658,300,674,417,745,541,377
2019년,9,155,307,490,712,218,1049,714,1078,210,320,1057,343,494,312,457,434,367,65,322,595,339,791,1073,356
2020년,200,361,617,472,175,223,934,253,656,184,387,288,397,299,346,356,415,513,1213,419,331,433,926,235,614
2021년,0,403,228,283,655,219,448,404,470,593,221,471,116,108,371,317,533,48,283,20,236,556,516,143,262
